Trading_Date,Time,DJIA,S&P 500,NASDAQ Composite,,,,,,,,,,,,,,,,,,NASDAQ_Composite_24h_Change_pct
7/1/2025,13:30:00,42663.48828,5933.609863,19582.46094,,,,,,,,,,,,,,,,,,1.8914
7/1/2025,14:30:00,42445.35938,5901.399902,19463.37109,,,,,,,,,,,,,,,,,,1.0356
7/1/2025,15:30:00,42529.28125,5909.540039,19493.68555,,,,,,,,,,,,,,,,,,1.092
7/1/2025,16:00:00,42528.35938,5909.029785,19489.67969,,,,,,,,,,,,,,,,,,1.0834
8/1/2025,9:30:00,42339.48047,5887.75,19422.35742,,,,,,,,,,,,,,,,,,-0.082
8/1/2025,10:30:00,42509.73047,5903.700195,19448.36523,,,,,,,,,,,,,,,,,,-0.3289
8/1/2025,11:30:00,42368.5,5878.490234,19324.32227,,,,,,,,,,,,,,,,,,-1.066
8/1/2025,12:30:00,42548.10938,5914.27002,19502.9082,,,,,,,,,,,,,,,,,,-0.4228
8/1/2025,13:30:00,42635.25,5925.319824,19534.52539,,,,,,,,,,,,,,,,,,-0.4177
8/1/2025,14:30:00,42597.94922,5913.490234,19467.63477,,,,,,,,,,,,,,,,,,-0.7452
8/1/2025,15:30:00,42617.37109,5916.549805,19475.92578,,,,,,,,,,,,,,,,,,-0.7364
8/1/2025,16:00:00,42635.19922,5918.25,19478.88086,,,,,,,,,,,,,,,,,,-0.7278
10/1/2025,9:30:00,42094.41016,5840.839844,19171.57813,,,,,,,,,,,,,,,,,,-4.0422
10/1/2025,10:30:00,41967.01953,5819.640137,19087.16992,,,,,,,,,,,,,,,,,,-4.5561
10/1/2025,11:30:00,41953.12891,5821.810059,19113.44727,,,,,,,,,,,,,,,,,,-4.189
10/1/2025,12:30:00,42139.55859,5853.759766,19251.20898,,,,,,,,,,,,,,,,,,-3.3212
10/1/2025,13:30:00,42063.14063,5847.950195,19236.27344,,,,,,,,,,,,,,,,,,-3.0541
10/1/2025,14:30:00,41925.87891,5824.939941,19155.98633,,,,,,,,,,,,,,,,,,-3.5017
10/1/2025,15:30:00,41931.26953,5826.5,19158.05469,,,,,,,,,,,,,,,,,,-3.583
10/1/2025,16:00:00,41938.44922,5827.040039,19161.63086,,,,,,,,,,,,,,,,,,-3.5407
13/1/2025,9:30:00,42036.87891,5780.97998,18859.01953,,,,,,,,,,,,,,,,,,-4.2627
13/1/2025,10:30:00,42069.32031,5791.459961,18893.46094,,,,,,,,,,,,,,,,,,-3.976
13/1/2025,11:30:00,42093.60938,5803.490234,18974.50586,,,,,,,,,,,,,,,,,,-2.9882
13/1/2025,12:30:00,42183.78125,5818.02002,19016.17188,,,,,,,,,,,,,,,,,,-3.1517
13/1/2025,13:30:00,42233.78906,5824.160156,19020.38672,,,,,,,,,,,,,,,,,,-2.8703
13/1/2025,14:30:00,42241.57813,5822.109863,19016.49609,,,,,,,,,,,,,,,,,,-2.296
13/1/2025,15:30:00,42299.69141,5836.109863,19083.86133,,,,,,,,,,,,,,,,,,-2.1023
13/1/2025,16:00:00,42297.12109,5836.220215,19088.09961,,,,,,,,,,,,,,,,,,-2.0605
14/1/2025,9:30:00,42462.32031,5852.490234,19162.00977,,,,,,,,,,,,,,,,,,-1.3405
14/1/2025,10:30:00,42318.48828,5831.25,19058.9082,,,,,,,,,,,,,,,,,,-2.0025
14/1/2025,11:30:00,42244.60938,5818.390137,19000.22656,,,,,,,,,,,,,,,,,,-1.6771
14/1/2025,12:30:00,42382.64063,5841.370117,19078.82422,,,,,,,,,,,,,,,,,,-2.1745
14/1/2025,13:30:00,42491.26953,5851.660156,19115.41016,,,,,,,,,,,,,,,,,,-2.1455
14/1/2025,14:30:00,42397.80078,5825.930176,18976.4668,,,,,,,,,,,,,,,,,,-2.523
14/1/2025,15:30:00,42522.55859,5843.310059,19045.93359,,,,,,,,,,,,,,,,,,-2.2078
14/1/2025,16:00:00,42518.28125,5842.910156,19044.39063,,,,,,,,,,,,,,,,,,-2.2306
15/1/2025,9:30:00,43204.76172,5943.879883,19482.40234,,,,,,,,,,,,,,,,,,1.6213
15/1/2025,10:30:00,43133.23828,5931.25,19431.10352,,,,,,,,,,,,,,,,,,1.8019
15/1/2025,11:30:00,43136.67969,5931.839844,19427.04883,,,,,,,,,,,,,,,,,,1.6407
15/1/2025,12:30:00,43195.91016,5943,19480.35156,,,,,,,,,,,,,,,,,,1.1903
15/1/2025,13:30:00,43244.82031,5952.100098,19511.3457,,,,,,,,,,,,,,,,,,1.43
15/1/2025,14:30:00,43283.55859,5957.660156,19536.09766,,,,,,,,,,,,,,,,,,1.9843
15/1/2025,15:30:00,43213.92188,5948.819824,19508.49414,,,,,,,,,,,,,,,,,,1.8292
